species,Numb,arrangment,inflType,perColor,vegHabitLike,APerianthLengthCm,inflLengthCm,numberCincinnalBracts,ovaryLengthMm,totalHtm,bWidthCm,bladeLengthCm
ignescens,83-1594,distichous,erect,yellow,canna,3.1,10.666666666666666,4.333333333333333,2.6666666666666665,1.4000000000000001,8.666666666666666,29.666666666666668
lutea,83-1562,spiral,erect,green,musa,5.44,26.2,6,3.8,1.8,15.52,77.8
lindsayana,11-8796,spiral,erect,yellow_green,musa,1.1666666666666667,10,3,1.3333333333333333,2,6,26.666666666666668
clinophila,89-2811,distichous,erect,0,canna,2.25,11,3,3.5,1.375,5.5,22.5
spathocircinata,sn,spiral,erect,yellow,musa,1.1863636363636365,5.7727272727272725,1.5909090909090908,1.1818181818181819,1.9159090909090912,4.613636363636363,19.545454545454547
tortuosa,94-4920,spiral,erect,yellow,musa,3.9549999999999996,21,4.85,4.3,2.2875,16.5,56.75
longiflora,83-1572,distichous,erect,orange_yellow_white,zingiber,5.25,9.25,4,4,3.75,5.5,23
angusta,94-3688,distichous,erect,pink_red_white,0,1.3333333333333333,4,1.6666666666666667,3,2.75,2.8333333333333335,11.666666666666666
aemygdiana,96-5686,spiral,erect,green,musa,3.02,23.6,7.6,3.8,2.7,22.8,106
zebrina,86-1804,distichous,erect,green,musa,3.8,20,6.5,6,1.2,23,68
